Date,Year,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
10/3/2004,2004,9,14,4,17
10/4/2004,2004,4,0,3,0
10/5/2004,2004,0,0,0,0
10/6/2004,2004,0,0,0,0
10/7/2004,2004,0,0,0,0
10/8/2004,2004,0,0,0,0
10/9/2004,2004,0,0,0,0
10/10/2004,2004,0,0,0,0
10/11/2004,2004,28,0,0,1
10/12/2004,2004,0,0,0,0
10/13/2004,2004,0,14,2,0
10/14/2004,2004,0,9,3,0
10/15/2004,2004,0,0,0,0
10/16/2004,2004,0,0,0,0
10/17/2004,2004,0,24,15,2
10/18/2004,2004,31,8,32,54
10/19/2004,2004,13,38,24,27
10/20/2004,2004,1,16,3,12
10/21/2004,2004,0,11,5,0
10/22/2004,2004,3,13,3,0
10/23/2004,2004,5,7,13,2
10/24/2004,2004,10,21,25,15
10/25/2004,2004,0,0,2,10
10/26/2004,2004,4,0,1,6
10/27/2004,2004,17,7,9,2
10/28/2004,2004,5,11,6,8
10/29/2004,2004,18,23,21,43
10/30/2004,2004,41,29,67,62
10/31/2004,2004,65,47,17,19
11/1/2004,2004,0,13,5,7
11/2/2004,2004,0,0,1,0
11/3/2004,2004,0,0,2,0
11/4/2004,2004,0,0,0,0
11/5/2004,2004,0,2,0,2
11/6/2004,2004,62,91,129,71
11/7/2004,2004,11,47,62,45
11/8/2004,2004,17,39,12,16
11/9/2004,2004,2,4,7,0
11/10/2004,2004,0,0,0,0
11/11/2004,2004,0,0,0,4
11/12/2004,2004,10,0,0,2
11/13/2004,2004,34,103,69,70
11/14/2004,2004,0,0,0,4
11/15/2004,2004,0,0,0,0
11/16/2004,2004,0,0,0,0
11/17/2004,2004,0,0,0,0
11/18/2004,2004,0,0,0,0
11/19/2004,2004,0,0,0,0
11/20/2004,2004,0,0,0,0
11/21/2004,2004,0,0,0,0
11/22/2004,2004,0,0,0,0
11/23/2004,2004,0,0,0,0
11/24/2004,2004,0,0,0,0
11/25/2004,2004,0,0,0,0
11/26/2004,2004,23,11,3,12
11/27/2004,2004,42,46,32,2
11/28/2004,2004,7,4,0,0
11/29/2004,2004,0,0,0,0
11/30/2004,2004,0,0,0,0
12/1/2004,2004,0,0,0,0
12/2/2004,2004,0,0,0,0
12/3/2004,2004,0,0,0,0
12/4/2004,2004,0,0,0,0
12/5/2004,2004,0,0,0,0
12/6/2004,2004,0,0,0,0
12/7/2004,2004,0,0,0,0
12/8/2004,2004,0,0,0,0
12/9/2004,2004,4,9,2,2
12/10/2004,2004,0,0,0,0
12/11/2004,2004,0,0,0,0
12/12/2004,2004,0,0,0,0
12/13/2004,2004,0,0,0,0
12/14/2004,2004,0,0,0,0
12/15/2004,2004,0,0,0,0
12/16/2004,2004,0,0,0,0
12/17/2004,2004,0,0,0,0
12/18/2004,2004,0,0,0,0
